Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Suffolk,Rosehill,Tomline Road,Ipswich,Suffolk,IP3 8DB,,Yes,CL,,,00:00-00:00,09:30-17:00,09:00-17:00,09:00-17:00,09:00-18:00,09:30-17:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/rosehill-library/,
Suffolk,Saxmundham,"County Offices, Street Farm Road",Saxmundham,Suffolk,IP17 1AL,,Yes,CL,,,00:00-00:00,10:00-18:00,10:00-18:00,00:00-00:00,10:00-17:30,10:00-13:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Range of Services,Library within shared use building,https://www.suffolklibraries.co.uk/libraries/saxmundham-library/,
Suffolk,Southwold,North Green,Southwold,Suffolk,IP18 6AT,,Yes,CL,,,00:00-00:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,09:30-17:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/southwold-library/,
Suffolk,Stoke,"High School, Maidenhall Approach",Ipswich,Suffolk,IP2 8PL,100091493152,Yes,CL,,,00:00-00:00,09:30-17:00,14:00-17:00,14:00-17:00,09:30-12:30,09:30-12:30,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,High School,On high school site and joint use library,https://www.suffolklibraries.co.uk/libraries/stoke-library/,
Suffolk,Stowmarket,Milton Road,Stowmarket,Suffolk,IP14 1EX,,Yes,CL,,,00:00-00:00,08:30-18:45,08:30-17:45,08:30-17:45,08:30-18:30,08:30-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/stowmarket-library/,
Suffolk,Stradbroke,"Court House, Queens Street",Stradbroke,Suffolk,IP21 5HG,,Yes,CL,,,14:00-17:00,14:00-17:00,00:00-00:00,09:00-17:00,14:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Post Office,Service run by library (library manager is post master),https://www.suffolklibraries.co.uk/libraries/stradbroke-library/,
Suffolk,Sudbury,Market Hill,Sudbury,Suffolk,CO10 2EN,,Yes,CL,,,09:00-17:00,09:00-19:30,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Tourist Information,Tourist Information Centre have space within the library,https://www.suffolklibraries.co.uk/libraries/sudbury-library/,
Suffolk,Thurston,Thurston Community College,Bury St. Edmunds,Suffolk,IP31 3PB,,Yes,CL,,,00:00-00:00,15:00-19:00,10:00-13:00,14:00-18:00,10:00-13:00,10:00-15:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,High School,On same site but not a dual use library,https://www.suffolklibraries.co.uk/libraries/thurston-library/,
Suffolk,West Suffolk House (Library Point),"West Suffolk House, Western Way",Bury St. Edmunds,Suffolk,IP33 3YU,,Yes,CL,,,08:45-17:00,08:45-17:00,08:45-17:00,08:45-17:00,08:45-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.suffolklibraries.co.uk/libraries/west-suffolk-house-library/,
Suffolk,Wickham Market,"Resource Centre, Chapel Lane",Wickham Market,Suffolk,IP13 0SD,,Yes,CL,,,00:00-00:00,09:30-17:30,09:30-17:30,09:30-17:30,09:45-17:30,10:00-16:30,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Community Centre,Library part of a shared building,https://www.suffolklibraries.co.uk/libraries/wickham-market-library/,
Suffolk,Woodbridge,New Street,Woodbridge,Suffolk,IP12 1DT,,Yes,CL,,,10:00-16:00,09:30-19:30,09:00-17:30,09:00-17:30,09:00-19:30,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Dsitrict Council,District Council has a service desk within library,https://www.suffolklibraries.co.uk/libraries/woodbridge-library/,
