Library name,Address 1,Postcode,URL
Gretna Library & Customer Service Centre,Central Avenue ,DG16 5AQ,http://www.dumgal.gov.uk/article/15402/DG-Customer-Services---Gretna
Gullane Library,East Links Road,EH31 2AF,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/6
Haddington Library,The John Gray Centre,EH41 3DX,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/7
Halfway Library,211 Hamilton Road,G72 7PJ,http://www.slleisureandculture.co.uk/info/86/halfway_library
Hamilton Town House Library,102 Cadzow Street ,ML3 6HH,http://www.slleisureandculture.co.uk/info/87/hamilton_town_house_library
Hawick Library,North Bridge Street,TD9 9QT,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/hawick_library(1).aspx
Helensburgh Library,West King Street,G84 8EB,https://www.argyll-bute.gov.uk/library/helensburgh-library
Helmsdale Library,Dunrobin St,KW8 6JX,https://www.highlifehighland.com/libraries/helmsdale-library/
Hillhead Library,348 Byres Road,G12 8AP,http://www.glasgowlife.org.uk/libraries/your-local-library/hillhead-library/Pages/home.aspx
Hillhouse Library,Hillhouse Road,ML3 9TX,http://www.slleisureandculture.co.uk/info/88/hillhouse_library
Hub Community Library & Learning Centre,171 Pitkerro Road,DD4 8ES,http://www.leisureandculturedundee.com/hub-community-library-and-learning-centre
Huntly Library,The Square,AB54 8BR,https://www.aberdeenshire.gov.uk/libraries/
Ibrox Library,1 Midlock Street,G51 1SL,http://www.glasgowlife.org.uk/libraries/your-local-library/ibrox-library/Pages/home.aspx
Innerleithen Library Contact Centre ,Buccleuch Street,EH44 6LA,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/innerleithen_library_contact_centre(1).aspx
Insch Library,Rannes Street,AB52 6JJ,https://www.aberdeenshire.gov.uk/libraries/
Inshes Library,Inshes Road,IV2 3RF,https://www.highlifehighland.com/libraries/inshes-library/
