WKT,fid,id,building_theme,classification,distinctive_name,feature_code
"POLYGON ((351472.97 866923.06,351480.75 866912.4,351484.09 866916.13,351477.06 866925.86,351472.97 866923.06))","2296",E8138C42-F220-464E-A59D-430C3AE249D4,Cultural Facility,Library,,"15024"
"POLYGON ((350921.67 716922.86,350863.55 716933.75,350856.3 716893.8,350914.32 716882.96,350921.67 716922.86))","2324",BDEC2A3A-3ECF-4910-A1F5-8D1FC5C373BF,Cultural Facility,Library,University Library,"15024"
"POLYGON ((345767.71 728547.48,345756.91 728553.07,345750.68 728540.79,345761.38 728535.19,345767.71 728547.48))","2479",AC565A11-09A5-4B80-AD40-606D9C243FFB,Cultural Facility,Library,,"15024"
"POLYGON ((186407.64 668610.97,186415.84 668610.1,186417.04 668621.24,186415.17 668621.44,186408.84 668622.07,186407.64 668610.97))","2531",3BB67078-7D73-4260-BC05-900C76A2636E,Cultural Facility,Library,,"15024"
"POLYGON ((392971.91 867359.8,392923.11 867367.7,392919.28 867343.88,392898.47 867347.2,392896.05 867330.71,392920.1 867326.79,392915.59 867299.43,392934.18 867296.18,392938.64 867323.4,392946.05 867322.18,392948.88 867340.39,392968.46 867337.33,392971.91 867359.8))","2546",5540D937-9E07-43F1-BCC5-8B870E8D9AF3,Cultural Facility,Library,Rosehearty Library,"15024"
"POLYGON ((344719.0 1010971.94,344737.71 1010962.33,344720.03 1010928.4,344736.85 1010919.64,344761.43 1010968.08,344726.29 1010986.13,344719.0 1010971.94))","2581",0F8F0B03-48BA-4507-B561-7E343B0EDB6F,Cultural Facility,Library,,"15024"
"POLYGON ((377513.8 821609.63,377506.94 821608.02,377512.63 821583.75,377540.82 821590.35,377531.28 821631.01,377509.96 821626.01,377513.8 821609.63))","2652",D64759F7-A009-4539-8933-4A63AA25BED3,Cultural Facility,Library,,"15024"
"POLYGON ((262910.71 707715.68,262923.25 707710.93,262928.12 707723.69,262915.59 707728.48,262910.71 707715.68))","2672",679DC646-888C-420A-8FAA-722DA6853458,Cultural Facility,Library,,"15024"
"POLYGON ((327572.1 691700.52,327579.07 691694.48,327583.82 691699.96,327576.85 691706.0,327572.1 691700.52))","2701",4A060CD9-7781-427A-AF55-869ECB4FB101,Cultural Facility,Library,Kirkcaldy Galleries,"15024"
"POLYGON ((351479.39 866899.43,351486.49 866902.33,351484.08 866908.23,351476.98 866905.33,351479.39 866899.43))","2730",68CA3720-1788-4F22-A41E-AC379EFC73FA,Cultural Facility,Library,,"15024"
"POLYGON ((271728.69 846167.28,271728.77 846143.66,271751.4 846143.73,271751.41 846167.22,271728.69 846167.28))","2783",B6953302-5F38-4125-8F00-E6563975D506,Cultural Facility,Library,,"15024"
"POLYGON ((343087.02 850662.39,343088.55 850674.88,343068.87 850677.03,343067.34 850664.54,343087.02 850662.39))","2942",20F65F08-890D-4E1E-880C-948D0F51CB57,Cultural Facility,Library,,"15024"
"POLYGON ((396697.26 817290.21,396689.56 817285.49,396699.78 817268.78,396707.48 817273.49,396697.26 817290.21))","2963",1D57B522-B751-4212-B6C8-B4FACC11A78F,Cultural Facility,Library,,"15024"
"POLYGON ((330458.88 709632.89,330475.3 709635.03,330473.85 709646.2,330457.43 709644.06,330458.88 709632.89))","2979",19293E72-33B0-4C5E-9CE0-A8A95C8342CE,Cultural Facility,Library,Ladybank Library,"15024"
